id;nr;iterations;kicks;goals;score
trainGaPlayer01C;work002;0;0.153;0.000;0.153
trainGaPlayer01C;work002;1;0.259;0.000;0.259
trainGaPlayer01C;work002;2;0.628;0.000;0.628
trainGaPlayer01C;work002;3;1.096;0.000;1.096
trainGaPlayer01C;work002;4;1.808;0.000;1.808
trainGaPlayer01C;work002;5;2.523;0.000;2.523
trainGaPlayer01C;work002;6;2.514;0.000;2.514
trainGaPlayer01C;work002;7;3.088;0.000;3.088
trainGaPlayer01C;work002;8;3.741;0.000;3.741
trainGaPlayer01C;work002;9;4.805;0.000;4.805
trainGaPlayer01C;work002;10;6.206;0.000;6.206
trainGaPlayer01C;work002;11;6.447;0.000;6.447
trainGaPlayer01C;work002;12;5.922;0.000;5.922
trainGaPlayer01C;work002;13;6.218;0.004;6.843
trainGaPlayer01C;work002;14;6.212;0.000;6.212
trainGaPlayer01C;work002;15;8.153;0.005;8.867
trainGaPlayer01C;work002;16;10.634;0.000;10.634
trainGaPlayer01C;work002;17;9.713;0.000;9.713
trainGaPlayer01C;work002;18;12.261;0.000;12.261
trainGaPlayer01C;work002;19;14.147;0.000;14.147
trainGaPlayer01C;work002;20;17.704;0.000;17.704
trainGaPlayer01C;work002;21;16.051;0.000;16.051
trainGaPlayer01C;work002;22;19.014;0.000;19.014
trainGaPlayer01C;work002;23;18.241;0.008;19.491
trainGaPlayer01C;work002;24;18.789;0.000;18.789
trainGaPlayer01C;work002;25;17.765;0.004;18.390
trainGaPlayer01C;work002;26;21.201;0.000;21.201
trainGaPlayer01C;work002;27;18.839;0.000;18.839
trainGaPlayer01C;work002;28;22.365;0.008;23.545
trainGaPlayer01C;work002;29;24.467;0.007;25.467
trainGaPlayer01C;work002;30;20.567;0.007;21.567
trainGaPlayer01C;work002;31;25.659;0.025;29.349
trainGaPlayer01C;work002;32;26.898;0.000;26.898
trainGaPlayer01C;work002;33;29.596;0.007;30.596
trainGaPlayer01C;work002;34;27.863;0.000;27.863
trainGaPlayer01C;work002;35;27.424;0.004;27.980
trainGaPlayer01C;work002;36;32.139;0.000;32.139
trainGaPlayer01C;work002;37;31.610;0.004;32.166
trainGaPlayer01C;work002;38;31.759;0.000;31.759
trainGaPlayer01C;work002;39;33.835;0.020;36.849
trainGaPlayer01C;work002;40;32.893;0.010;34.351
trainGaPlayer01C;work002;41;35.888;0.015;38.180
trainGaPlayer01C;work002;42;32.842;0.018;35.521
trainGaPlayer01C;work002;43;36.047;0.008;37.228
trainGaPlayer01C;work002;44;38.241;0.008;39.511
trainGaPlayer01C;work002;45;39.140;0.014;41.223
trainGaPlayer01C;work002;46;38.806;0.035;44.045
trainGaPlayer01C;work002;47;46.204;0.025;49.936
trainGaPlayer01C;work002;48;42.858;0.023;46.358
trainGaPlayer01C;work002;49;49.761;0.000;49.761
trainGaPlayer01C;work002;50;42.646;0.019;45.479
trainGaPlayer01C;work002;51;38.865;0.024;42.407
trainGaPlayer01C;work002;52;44.995;0.003;45.449
trainGaPlayer01C;work002;53;50.604;0.019;53.410
trainGaPlayer01C;work002;54;46.351;0.013;48.316
trainGaPlayer01C;work002;55;45.095;0.030;49.606
trainGaPlayer01C;work002;56;45.934;0.021;49.017
trainGaPlayer01C;work002;57;47.534;0.030;51.998
trainGaPlayer01C;work002;58;45.896;0.030;50.406
trainGaPlayer01C;work002;59;47.318;0.044;53.869
trainGaPlayer01C;work002;60;47.431;0.031;52.132
trainGaPlayer01C;work002;61;50.481;0.024;54.147
trainGaPlayer01C;work002;62;48.838;0.071;59.427
trainGaPlayer01C;work002;63;48.489;0.033;53.513
trainGaPlayer01C;work002;64;52.072;0.060;61.120
trainGaPlayer01C;work002;65;52.597;0.066;62.546
trainGaPlayer01C;work002;66;48.631;0.019;51.518
trainGaPlayer01C;work002;67;47.059;0.022;50.393
trainGaPlayer01C;work002;68;54.292;0.027;58.340
trainGaPlayer01C;work002;69;51.198;0.048;58.448
trainGaPlayer01C;work002;70;53.797;0.063;63.269
trainGaPlayer01C;work002;71;58.418;0.032;63.257
trainGaPlayer01C;work002;72;62.136;0.030;66.648
trainGaPlayer01C;work002;73;61.854;0.054;69.907
trainGaPlayer01C;work002;74;56.167;0.060;65.179
trainGaPlayer01C;work002;75;63.184;0.038;68.829
trainGaPlayer01C;work002;76;62.155;0.080;74.155
trainGaPlayer01C;work002;77;60.011;0.077;71.613
trainGaPlayer01C;work002;78;66.007;0.032;70.824
trainGaPlayer01C;work002;79;53.834;0.063;63.257
trainGaPlayer01C;work002;80;56.849;0.050;64.375
trainGaPlayer01C;work002;81;56.094;0.065;65.844
trainGaPlayer01C;work002;82;60.768;0.062;70.121
trainGaPlayer01C;work002;83;58.031;0.091;71.615
trainGaPlayer01C;work002;84;59.206;0.069;69.510
